Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	50	50
OG0000001	21	21
OG0000002	32	32
OG0000003	31	31
OG0000004	25	25
OG0000005	22	22
OG0000006	8	8
OG0000007	15	15
OG0000008	10	8
OG0000009	8	8
OG0000010	9	9
OG0000011	5	4
OG0000012	10	10
OG0000013	8	8
OG0000014	4	4
OG0000015	4	4
OG0000016	3	3
OG0000017	7	7
OG0000018	4	4
OG0000019	9	9
OG0000020	9	9
OG0000021	2	2
OG0000022	4	4
OG0000023	2	2
OG0000024	3	3
OG0000025	3	3
OG0000026	8	8
OG0000027	2	2
OG0000028	3	3
OG0000029	4	4
OG0000030	4	4
OG0000031	2	2
OG0000032	2	2
OG0000033	3	3
OG0000034	2	2
OG0000035	2	2
OG0000036	2	2
OG0000037	2	2
OG0000038	3	3
OG0000039	2	2
OG0000040	3	3
OG0000041	2	2
OG0000042	2	2
OG0000043	3	3
OG0000044	2	2
OG0000045	2	2
OG0000046	2	2
OG0000047	3	3
OG0000048	2	2
OG0000049	5	5
OG0000050	6	6
OG0000051	1	1
OG0000052	1	1
OG0000053	1	1
OG0000054	2	2
OG0000055	2	2
OG0000056	3	3
OG0000057	1	1
OG0000058	1	1
OG0000059	1	1
OG0000060	1	1
OG0000061	1	1
OG0000062	1	1
OG0000063	2	2
OG0000064	1	1
OG0000065	3	3
OG0000066	1	1
OG0000067	1	1
OG0000068	1	1
OG0000069	1	1
OG0000070	1	1
OG0000071	2	2
OG0000072	2	2
OG0000073	1	1
OG0000074	1	1
OG0000075	1	1
OG0000076	1	1
OG0000077	3	3
OG0000078	1	1
OG0000079	1	1
OG0000080	1	1
OG0000081	2	2
OG0000082	1	1
OG0000083	2	2
OG0000084	1	1
OG0000085	1	1
OG0000086	1	1
OG0000087	1	1
OG0000088	1	1
OG0000089	2	2
OG0000090	2	2
OG0000091	2	2
OG0000092	1	1
OG0000093	1	1
OG0000094	1	1
OG0000095	1	1
OG0000096	1	1
OG0000097	1	1
OG0000098	1	1
OG0000099	1	1
OG0000100	1	1
OG0000101	1	1
OG0000102	1	1
OG0000103	1	1
OG0000104	2	2
