"","gene","baseMean","log2FC","stderror","padj"
"1","CAGL0F06875g",11157.7325926753,-2.80588154769969,0.398048516850113,9.20959948836842e-09
"2","CAGL0J06402g",2664.29591953015,-2.34416839380504,0.47235477751747,0.000507818801298428
"3","CAGL0M01892g",39.8829855156758,-1.90152964890599,0.51015788761026,0.023252654672393
"4","CAGL0G02585g",8259.81322860926,-1.79151175793004,0.385272937521931,0.00169767386536508
"5","CAGL0F02431g",5599.46843391942,-1.76803528610564,0.394282252254757,0.00287928076013402
"6","CAGL0F04917g",114.245514736806,-1.72693637116163,0.441393383420192,0.0150712227045083
"7","CAGL0I09592g",938.132538491357,-1.71661309363708,0.450481642721698,0.0202544028908748
"8","CAGL0K07788g",14241.0936588696,-1.66854418320938,0.430906636625814,0.0167166162911057
"9","CAGL0C03872g",10720.9220938509,-1.666612129513,0.399224675560695,0.00763216378681165
"10","CAGL0I08987g",949.398757778204,-1.47479812210252,0.402428077981771,0.0253225565903657
"11","CAGL0L02079g",7782.04176779584,-1.47025446271068,0.321530379768809,0.00223869037515504
"12","CAGL0K11616g",5366.56369542613,-1.43886391514326,0.339999407097682,0.00696898443470932
"13","CAGL0J09240g",9171.09025857686,-1.43505847508393,0.354431569154959,0.00999909906741967
"14","CAGL0E06688g",682.978346806262,-1.36878957912171,0.340640283808397,0.0107071425273769
"15","CAGL0C03443g",15756.0718886596,-1.34105045315365,0.297299509194657,0.00275269415714909
"16","CAGL0B01507g",734.317553129287,-1.27281421887594,0.232989314544489,5.9862841091722e-05
"17","CAGL0G04807g",1090.07816026621,-1.20647971343467,0.321221198594749,0.0221753712114843
"18","CAGL0L01551g",1556.44724008115,-1.17700213064342,0.286983497160713,0.00899285170356818
"19","CAGL0I07711g",386.93793165082,-1.15525566633727,0.284891403263709,0.00999909906741967
"20","CAGL0G08668g",2335.85878808793,-1.13761226166743,0.262566810644181,0.00538137782214152
"21","CAGL0J07700g",177.04329569702,-1.12558916199679,0.323338188005182,0.0425538783256559
"22","CAGL0D06402g",7017.08416568561,-1.08377825881183,0.268068738476779,0.00999909906741967
