Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
CAGL0E03157g	542.6784176033739	839.3915577528529	645.8068589527599	475.9899665298625	589.0952842165863	589.2701676758654	465.85229362049137	411.11849382425584	476.0913497519375
CAGL0E03179g	39.01057918144177	76.1070316151596	43.48458762885346	38.729148139282835	47.66807712651643	59.53992778894331	35.7267834022413	30.114852634040137	37.33337559516296
CAGL0E03201g	61.70423341679972	82.5951818069797	114.76044243503001	50.37701224132278	120.03491983899431	93.64174401480867	60.68872813743173	7.2185414553504454	102.75759380030799
CAGL0E03223g	39.38568090434025	30.381020739475076	26.28509710302762	41.81583212632342	31.886808962182194	29.954298036233087	39.15905080332998	40.942664817065804	28.682795232031506
CAGL0E03245g	537.4269934827951	137.79595169294117	150.5198351666905	387.5244386748691	189.37521797201083	117.32868123115298	419.51668370579415	109.63159835313489	156.90780524914794
CAGL0E03267g	61.89178427824896	219.92769420050516	142.45453734949535	70.06190257377028	148.3547298325256	141.06170198293765	65.60311100717234	126.66284459935233	146.37373927040468
CAGL0E03289g	349.87613203355585	38.87740789542997	114.4689256464567	237.15051311753334	136.6809150260318	98.15793048796381	267.71685728491735	115.83503241632667	125.81683912286991
CAGL0E03311g	51.201385175642315	112.1523104586046	75.98870955477855	58.00636322815894	70.90761586166616	84.37895339129659	52.576096098494844	136.47554939021936	61.73796778601903
CAGL0E03355g	50.6387325912946	84.50043226013321	84.4912825548337	51.13412340795537	76.42025063139934	90.50806360486428	40.9531905811718	174.1473126103295	85.20081716906918
CAGL0E03421g	0.09377543072461964	0.051493255490635714	0.04858613142888654	0.05823932051019975	0.054045438918952866	0.0460835354403586	0.07800607729747008	0.11278971023985071	0.013453468682941606
CAGL0E03432g	0.09377543072461964	0.051493255490635714	0.04858613142888654	0.05823932051019975	0.054045438918952866	0.0460835354403586	0.07800607729747008	0.11278971023985071	0.013453468682941606
CAGL0E03454g	132.87978533678603	265.7051983316803	258.6239775959631	123.75855608417447	252.5002906293478	278.2984705243256	152.50188111655402	535.1871750880916	265.10060039736436
CAGL0E03476g	61.516682555350485	99.07302356398313	108.63858987499032	60.452414689587336	104.36174255249797	90.0472282504607	78.94215022503973	73.87726020710221	104.93705572694454
CAGL0E03498g	34.884460229558506	55.87018220733976	96.54064314919756	46.35849912611899	90.03970123897548	103.82620534712791	43.21536682279844	48.9507342440952	136.6468814126379
CAGL0E03520g	54.389749820279384	63.95462331936957	65.93138034899904	43.56301174162941	53.18071189624962	47.88079332253258	56.944436427153164	26.731161326844617	41.880648009997216
CAGL0E03542g	47.16904165448368	73.89282162906227	74.48253948048307	58.35579915122014	72.79920622382951	71.7981482160787	65.44709885257741	73.65168078662252	76.25426049491303
CAGL0E03564g	132.6922344753368	273.78963944371014	271.499302424618	148.33554933947875	253.36501765205102	242.90631530613018	167.47904795766829	125.64773720719367	243.8441198783166
CAGL0E03608g	39.760782627238726	56.282128251264844	58.40052997752163	37.040207844487036	48.478758710300724	58.89475829277829	41.65524527684903	38.12292206106954	48.76882397566332
CAGL0E03630g	0.6564280150723374	0.8753853433408072	3.3524430685931716	1.1647864102039949	2.756317384866596	2.119842630256495	3.432267401088684	0.5639485511992536	3.3902741081012846
CAGL0E03652g	19.505289590720885	18.28010569917568	79.58408328051617	20.67495878112091	68.90793462166491	51.47530908688055	42.825336436311076	3.496481017435372	82.8464601495544
CAGL0E03674g	9.377543072461963	16.323361990531524	18.94859125726575	10.832513614897152	18.429494671362924	22.30443115313356	24.88393865789296	4.060429568634626	19.66897121446063
CAGL0E03718g	67.33075926027689	91.19455547391586	91.2933409548778	85.55356182948343	89.5532922887049	80.18535166622395	93.68529883426159	93.38988007859638	65.03406761333972
CAGL0E03740g	10.12774651825892	10.607610631070958	12.535221908652728	11.531385461019548	13.024950779467641	13.45639234858471	18.877470705987765	3.27090159695567	9.12145176703441
CAGL0E03762g	13.972539177968326	12.976300383640202	26.333683234456505	8.85237671755036	26.59035594812481	20.73759094816137	20.983634793019455	11.05339160350537	35.07319285642876
CAGL0E03784g	33.759155060863066	53.55298571026115	34.25322265736501	32.031626280609856	36.96708022056376	41.198680683680585	25.11795688978537	114.70713531392816	35.436436510868184
CAGL0E03806g	83.92901049853457	145.51994001653654	110.24193221214357	99.00684486733957	115.98151192007285	115.85400809706151	101.87593695049594	61.01923323975923	101.65440936830677
CAGL0E03828g	48.95077483825145	68.1770702696017	70.20695991474106	50.90116612591458	70.85357042274721	67.37412881380426	58.34854581850763	40.15313684538685	74.5322165034965
CAGL0E03850g	351.4703143558744	158.23877412272358	149.25659574953949	214.96133200314725	166.78422450388854	133.2275009580767	181.7541601031053	113.80481763200936	163.0291334998864
CAGL0E03872g	113.84337289968823	192.68776204595886	186.716503081211	149.50033574968276	169.37840557199826	182.53688387926042	152.1118507300667	116.73735009824549	158.40114027295445
CAGL0E03894g	43.32424899477427	32.595230725572414	40.083558428831395	41.87407144683362	50.42439451138303	42.76552088865277	34.322674010886836	31.91948799787775	45.499631085708515
CAGL0E03916g	43.88690157912199	79.71155949950409	108.6871760064192	35.17654958816064	109.98246820006908	78.52634439037105	39.861105499007216	39.02523974298834	76.13317927676655
CAGL0E03938g	1948.4658995961465	745.5708462489146	974.637796463464	872.1338246402412	856.6202068654029	837.7986743057193	773.430256404416	890.3619726333815	891.1712190267349
CAGL0E03960g	110.3736819628773	81.82278297462017	132.1056913551425	94.34769922652359	130.68187130602803	126.63755539010543	111.93872092186957	109.85717777361458	125.64194402999166
CAGL0E03982g	120.97030563475933	187.2809702194421	179.57434176116467	144.25879690376476	176.8366761428138	201.29288280348635	150.23970487492738	153.5067956364368	165.92162926671884
CAGL0E04004g	39.854558057963345	188.51680835121738	160.91726729247222	28.595506370508076	137.599687487654	162.39837889182368	32.13850384655768	205.05169321604856	124.55221306667337
CAGL0E04026g	30.94589213912448	50.41189712533237	46.54551390887331	22.655095678467703	35.29167161407622	38.203250880057276	24.49390827140561	24.588156832287453	37.750433124334144
