	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
0	CAGL0A00165g	329	1277	953	653	873	1124	422	436	3425
1	CAGL0A00187g	541	1561	1755	1240	1434	1990	950	1120	7031
2	CAGL0A00209g	2460	6237	7252	5037	6009	7581	3992	1345	18963
3	CAGL0A00231g	243	172	375	292	305	235	426	118	1572
4	CAGL0A00253g	791	2009	2340	1336	2031	2071	1217	395	8426
5	CAGL0A00275g	1295	2665	2876	2133	2716	2933	1643	488	8892
6	CAGL0A00297g	492	1181	1772	966	1495	1725	884	400	6390
7	CAGL0A00319g	496	2138	1887	1165	1629	2283	780	782	7001
8	CAGL0A00341g	39	310	418	123	306	500	144	57	1181
9	CAGL0A00363g	4164	5470	9301	8355	9770	6314	8749	1019	47264
10	CAGL0A00385g	232	128	315	364	311	335	192	60	1317
11	CAGL0A00407g	2024	11692	7499	4843	7516	8321	3377	3303	24149
12	CAGL0A00429g	641	1820	7548	1058	5691	4104	1428	339	33486
13	CAGL0A00451g	1271	8199	8473	2598	8886	10147	2043	2937	35978
14	CAGL0A00473g	1001	1167	1453	1265	1329	1153	1153	220	5456
15	CAGL0A00495g	1268	342	1176	1371	796	656	1897	304	3304
16	CAGL0A00517g	1971	7721	8136	4010	7340	8949	2723	5791	32601
17	CAGL0A00539g	168	794	662	278	537	591	439	128	1571
18	CAGL0A00561g	57	181	209	127	178	247	114	187	814
19	CAGL0A00583g	184	622	673	370	496	723	260	399	2510
20	CAGL0A00605g	507	1189	1202	847	1084	1578	601	472	3941
21	CAGL0A00627g	553	892	755	950	769	762	779	345	2750
22	CAGL0A00649g	4	9	11	6	8	15	9	15	15
23	CAGL0A00715g	1	1	1	1	3	1	1	1	5
24	CAGL0A00737g	17	16	23	9	17	21	7	1	110
25	CAGL0A00781g	611	2598	2599	1149	2380	3435	938	1599	10303
26	CAGL0A00803g	625	1726	1650	1208	1566	2022	987	979	5722
27	CAGL0A00825g	1095	2012	2541	1747	2147	2523	1429	735	7244
28	CAGL0A00847g	243	341	337	447	359	330	318	65	1406
29	CAGL0A00869g	61	116	126	57	81	98	94	1	385
30	CAGL0A00891g	889	1572	2386	1277	1781	2216	1215	924	8489
31	CAGL0A00913g	492	987	940	927	815	930	572	351	3111
32	CAGL0A00935g	10	2	22	29	34	20	22	1	97
33	CAGL0A00957g	271	916	933	563	811	959	401	256	2568
34	CAGL0A00979g	30584	21492	25891	27855	21795	23429	17347	31047	113184
35	CAGL0A01001g	395	1017	933	1122	872	1171	505	274	2480
36	CAGL0A01023g	214	214	279	293	211	243	207	204	982
37	CAGL0A01045g	5201	18567	14219	11816	15892	22752	7153	13390	49948
38	CAGL0A01067g	1779	1756	4120	2800	3148	3568	2796	2165	14066
39	CAGL0A01089g	501	22950	26505	1145	30015	26174	605	5225	115764
40	CAGL0A01111g	9015	23816	18729	19084	19085	23495	12620	9459	59644
41	CAGL0A01133g	317	726	1127	525	1062	990	532	263	4541
42	CAGL0A01155g	352	485	281	554	333	433	366	83	1024
43	CAGL0A01177g	54	11	122	61	45	127	42	87	408
44	CAGL0A01193g	1108	4968	2472	2797	2861	3881	1352	1248	8410
45	CAGL0A01199g	604	322	1237	749	1058	776	468	591	5558
46	CAGL0A01221g	5227	9140	9074	11508	8225	10830	8854	953	30183
47	CAGL0A01243g	80	297	246	107	255	269	91	13	818
48	CAGL0A01284g	15	3	33	26	63	43	22	59	174
49	CAGL0A01325g	590	656	1756	1053	1657	2059	802	1244	6175
50	CAGL0A01366g	38	8	145	63	55	68	52	99	370
51	CAGL0A01408g	14	33	20	15	7	18	1	1	101
52	CAGL0A01430g	6598	17458	14396	10853	14417	18853	6976	4852	52092
53	CAGL0A01452g	62	81	102	67	99	130	75	87	470
54	CAGL0A01474g	311	353	652	853	503	420	1065	26	2415
55	CAGL0A01540g	54847	41954	50638	55113	45335	46402	30174	17473	157210
56	CAGL0A01562g	46637	35704	54220	43871	42435	39453	31599	7589	145917
57	CAGL0A01584g	84	193	174	159	150	166	129	98	586
58	CAGL0A01606g	144	222	332	217	342	422	252	174	1445
59	CAGL0A01628g	2774	1981	2262	4904	3042	3683	2713	2028	10509
60	CAGL0A01650g	566	2102	2763	773	2343	2454	870	493	8934
61	CAGL0A01672g	1478	3351	4983	2775	4237	5546	2236	3210	17765
62	CAGL0A01694g	120	717	453	199	351	514	151	322	1207
63	CAGL0A01716g	733	3767	2476	2119	2452	3136	1023	741	7363
64	CAGL0A01738g	2793	12675	9939	4918	10231	12828	3936	8214	34127
65	CAGL0A01760g	537	1364	1210	1078	982	1505	964	1128	3428
66	CAGL0A01782g	26669	24164	40904	37953	37088	35627	29377	5913	166866
67	CAGL0A01804g	2577	4995	5575	6653	5330	7343	4457	2735	30682
68	CAGL0A01826g	22	365	1194	111	830	538	170	53	5015
69	CAGL0A01848g	838	3152	2989	1386	2238	3146	1311	674	8601
70	CAGL0A01870g	177	1275	1007	433	973	1351	288	265	3647
71	CAGL0A01892g	5	1	1	3	1	1	1	1	1
72	CAGL0A01914g	2152	3617	3451	3418	2908	3423	2513	1901	12954
73	CAGL0A01958g	975	1234	1208	1405	1200	1428	908	1206	5238
74	CAGL0A01980g	353	600	594	437	517	578	382	333	1818
75	CAGL0A02002g	245	1175	1219	1072	1369	2118	751	1484	5082
76	CAGL0A02024g	284	845	898	393	622	836	327	240	2210
77	CAGL0A02046g	773	3115	2537	2089	2612	3457	1283	2760	12566
78	CAGL0A02090g	5616	6708	5059	7122	5327	5647	4164	1969	15534
79	CAGL0A02112g	5633	7842	7998	8269	6955	8112	5832	1534	29606
80	CAGL0A02134g	265	884	779	348	844	845	308	287	3309
81	CAGL0A02145g	41	404	274	125	342	408	47	246	1212
82	CAGL0A02189g	1989	1956	4711	2781	3781	3607	2284	180	16557
83	CAGL0A02211g	4839	4397	9642	4441	8833	8977	3623	322	28423
84	CAGL0A02233g	16	30	17	10	15	5	32	9	275
85	CAGL0A02255g	41	53	72	95	39	70	112	33	302
86	CAGL0A02277g	157	963	728	334	710	878	236	101	2453
87	CAGL0A02299g	2866	11637	9469	6132	10004	9467	4530	1104	31666
88	CAGL0A02321g	3459	5220	8947	5939	7131	7967	6188	826	37660
89	CAGL0A02343g	1	20	45	31	24	46	23	1	40
90	CAGL0A02365g	3956	7861	6674	6737	6798	8105	4010	2805	24915
91	CAGL0A02387g	1640	2172	3010	2207	2717	2972	1961	561	9298
92	CAGL0A02409g	1176	2758	3850	2145	3092	3454	2006	1301	14140
93	CAGL0A02431g	615	4178	1865	1320	1818	2863	784	1139	6759
94	CAGL0A02475g	2871	10801	6315	6559	6859	10147	3911	7822	23641
95	CAGL0A02486g	624	1074	1135	821	1075	1147	752	439	3414
96	CAGL0A02508g	426	832	1036	855	923	1052	600	131	3519
97	CAGL0A02530g	5783	23559	16132	16652	15129	21117	11892	11601	58962
98	CAGL0A02552g	1160	2891	2696	1860	2467	2818	1409	1855	9502
99	CAGL0A02574g	4220	15417	10402	6001	9562	11871	4813	5683	22244
100	CAGL0A02596g	828	2369	1836	2098	1671	2449	1278	1884	6217
101	CAGL0A02618g	2088	8905	4998	4178	5085	8512	2925	10736	16799
102	CAGL0A02629g	2091	6111	6168	3565	5236	6403	3204	1659	19465
103	CAGL0A02651g	1025	1860	1496	1460	1610	1740	1094	1195	5156
104	CAGL0A02673g	1699	2498	2017	2286	1965	2118	1428	2054	6274
105	CAGL0A02695g	2425	6727	6359	5772	6145	9459	3631	12853	26838
106	CAGL0A02706g	25	15	55	79	78	84	42	24	175
107	CAGL0A02728g	4860	14833	9960	11741	10607	14331	7089	11576	38775
108	CAGL0A02750g	1289	4202	3817	2243	3799	3678	1951	945	13063
109	CAGL0A02772g	290	383	434	534	449	413	369	166	1841
110	CAGL0A02794g	297	325	762	351	439	445	468	14	2497
111	CAGL0A02816g	528	3079	2398	1603	2282	2717	991	1386	8804
112	CAGL0A02838g	307	864	835	502	636	855	439	832	2889
113	CAGL0A02860g	364	659	804	532	574	798	477	348	2451
114	CAGL0A02882g	4659	15464	14359	14593	13785	17708	10279	7691	59710
115	CAGL0A02904g	153	622	597	285	444	671	334	205	2058
116	CAGL0A02926g	1036	3873	3351	1543	2929	3205	1554	816	10626
117	CAGL0A02948g	589	2090	1679	1119	1438	2107	932	696	5241
118	CAGL0A02970g	1	1	5	7	1	1	1	1	11
119	CAGL0A02992g	78	124	281	121	195	122	151	3	731
120	CAGL0A03014g	348	1215	819	819	810	1291	686	503	3462
121	CAGL0A03036g	5556	9901	16506	10110	14537	14137	11800	3571	48361
122	CAGL0A03051g	2387	3959	3896	3319	3352	3703	2546	1427	10269
123	CAGL0A03058g	770	1792	2640	1293	2290	2621	1197	1021	8864
124	CAGL0A03080g	2285	2992	1749	2177	1612	1997	1262	1583	6396
125	CAGL0A03102g	287	1269	2319	2344	1536	3550	4117	200	4678
126	CAGL0A03117g	2456	3871	5130	3303	4264	4315	3881	508	18010
127	CAGL0A03146g	920	2012	2784	1875	2211	3364	1567	1514	11009
128	CAGL0A03168g	54265	34504	78784	51380	56376	44910	53106	9586	258864
129	CAGL0A03190g	282	533	646	619	564	697	374	110	2805
130	CAGL0A03212g	3364	2746	3408	5976	3322	5186	4913	1947	13598
131	CAGL0A03234g	9384	6044	23723	11836	15852	13806	17343	3479	133432
132	CAGL0A03256g	182	285	255	343	207	180	234	313	907
133	CAGL0A03278g	26564	24211	24504	21743	17995	18489	16620	7938	68357
134	CAGL0A03300g	9	28	44	11	35	23	3	1	82
135	CAGL0A03322g	660	1121	1001	1058	1055	1340	692	851	4038
136	CAGL0A03344g	690	2620	2691	916	2257	2479	778	988	9335
137	CAGL0A03366g	13466	15510	22351	20934	19216	23739	14760	4096	85469
138	CAGL0A03388g	17570	10270	26635	23809	24876	24528	17869	1100	97675
139	CAGL0A03410g	3	6	25	5	9	11	1	1	16
140	CAGL0A03432g	381	496	691	568	570	742	467	152	2999
141	CAGL0A03454g	331	537	970	577	724	651	654	302	2947
142	CAGL0A03476g	1662	3781	4686	4225	4124	5260	3335	1354	16198
143	CAGL0A03498g	61	165	130	144	121	144	88	100	497
144	CAGL0A03542g	768	1453	4288	1496	2541	2306	1999	474	20468
145	CAGL0A03564g	128	692	775	294	490	655	263	170	1687
146	CAGL0A03586g	92	189	155	155	135	284	51	88	784
147	CAGL0A03608g	473	565	403	481	461	322	349	105	1084
148	CAGL0A03630g	701	1412	2278	1158	1782	2540	1115	1104	8235
149	CAGL0A03652g	1849	783	1030	2136	1165	1252	1465	1034	4728
150	CAGL0A03674g	233	298	160	347	281	205	217	87	847
151	CAGL0A03696g	1304	4065	3341	2318	2901	3778	1850	749	11494
152	CAGL0A03718g	3017	11306	13036	7380	11262	12557	5973	894	42102
153	CAGL0A03740g	462	979	1289	926	1312	2221	569	1024	6256
154	CAGL0A03784g	364	878	711	523	664	886	336	271	2541
155	CAGL0A03806g	1	1	1	1	1	1	1	1	1
156	CAGL0A03828g	302	485	320	719	278	328	497	151	869
157	CAGL0A03872g	979	4830	3806	2209	3369	4288	1809	1138	13400
158	CAGL0A03883g	2189	6978	3222	4154	3537	5638	2570	4290	9591
159	CAGL0A03905g	121	3185	1727	286	1227	1992	156	650	3391
160	CAGL0A03927g	1155	3880	2606	1924	2439	3135	1289	885	7983
161	CAGL0A03949g	431	936	1281	772	1125	1192	425	265	4112
162	CAGL0A03971g	867	1394	1385	1443	1112	1592	1244	572	4204
163	CAGL0A03993g	357	1290	924	734	888	1037	569	219	2828
164	CAGL0A04015g	5813	3529	4067	5791	4263	3275	5120	827	11827
165	CAGL0A04037g	4205	3741	2908	5524	3115	3690	2850	4138	13906
166	CAGL0A04059g	2169	7287	4647	4701	4809	6400	2638	2714	15459
167	CAGL0A04081g	1929	8509	7121	5570	4335	7581	3230	2158	25227
168	CAGL0A04103g	588	1534	1820	1035	1924	2397	1091	1483	6598
169	CAGL0A04125g	9669	20014	13654	17075	14870	20350	9828	16419	60222
170	CAGL0A04147g	262	764	694	472	572	788	353	141	1762
171	CAGL0A04169g	748	450	756	1281	674	748	1237	25	2624
172	CAGL0A04191g	2249	5762	3853	3643	3930	5055	2354	2163	10860
173	CAGL0A04213g	809	258	632	1085	766	637	561	655	2990
174	CAGL0A04235g	321	757	734	509	602	733	464	219	2723
175	CAGL0A04257g	2941	3396	2673	4158	3269	3275	2525	2310	8925
176	CAGL0A04279g	895	3601	2192	1574	2070	2614	1090	870	7044
177	CAGL0A04301g	321	2208	1771	994	1290	1882	850	202	4054
178	CAGL0A04323g	566	1370	1380	1026	1131	1395	612	398	5186
179	CAGL0A04345g	1489	6887	5698	3313	5605	7114	2117	3297	22171
180	CAGL0A04367g	343	804	728	605	623	660	630	255	2257
181	CAGL0A04389g	691	1321	1359	1244	1083	1705	843	902	4374
182	CAGL0A04411g	312	1178	821	598	998	940	407	191	2857
183	CAGL0A04433g	2314	8113	7327	5230	6683	7946	3801	4264	30656
184	CAGL0A04455g	395	1382	1041	558	1014	1116	670	148	3151
185	CAGL0A04477g	596	2825	3574	1210	3436	3948	940	1307	12405
186	CAGL0A04499g	51	127	142	155	142	183	139	6	452
187	CAGL0A04521g	28340	23736	36596	26535	30429	25579	22471	1982	108609
188	CAGL0A04543g	346	1037	673	800	765	723	537	525	2520
189	CAGL0A04565g	1564	3311	3064	3397	2854	3351	1875	1467	9930
190	CAGL0A04587g	94	271	249	141	213	286	87	31	970
191	CAGL0A04631g	1554	1875	1957	2171	2124	2280	1517	570	7630
192	CAGL0A04653g	204	594	597	393	461	640	360	157	1747
193	CAGL0A04675g	7	33	84	14	45	30	37	83	198
194	CAGL0A04697g	1228	3218	4033	2586	3639	4190	2755	448	15467
195	CAGL0A04719g	1437	6869	5343	3333	5162	5241	2519	1563	17916
196	CAGL0A04741g	2047	5793	7083	3892	5840	5953	3778	1096	22080
197	CAGL0A04785g	694	1691	1761	1230	1453	1990	1193	746	5747
198	CAGL0A04807g	1127	3856	2917	1913	2969	2884	1556	1388	10017
199	CAGL0A04829g	29377	53841	55481	57874	66152	71963	31390	47662	256964
200	CAGL0B00220g	1	3	3	1	3	7	1	3	3
201	CAGL0B00242g	1	1	1	7	1	1	1	1	1
202	CAGL0B00264g	38	101	161	105	126	170	60	95	672
203	CAGL0B00286g	1906	2209	1770	1987	1490	2227	1169	1176	6772
204	CAGL0B00308g	383	633	709	673	595	641	530	93	2491
205	CAGL0B00330g	548	824	1103	1104	996	1150	1059	334	3577
206	CAGL0B00352g	1239	1215	862	1927	1195	863	1537	568	3524
207	CAGL0B00374g	458	348	426	790	468	497	464	103	1501
208	CAGL0B00396g	2863	6418	7528	4769	6221	6656	4852	636	22924
209	CAGL0B00418g	1841	3679	5988	3394	4958	6521	3007	2582	21532
210	CAGL0B00440g	2345	4876	5114	3369	4881	5241	2616	793	18722
211	CAGL0B00462g	1	9	13	7	1	12	1	1	37
212	CAGL0B00484g	3537	3104	3477	5402	3981	3602	3915	2744	14339
213	CAGL0B00506g	384	2254	1769	717	1594	1927	735	468	4596
214	CAGL0B00528g	592	1260	1079	787	1066	1084	714	207	3150
215	CAGL0B00550g	2290	4109	4041	2969	3067	3195	2258	1252	12093
216	CAGL0B00572g	9	5	13	3	19	17	9	1	48
217	CAGL0B00594g	20419	16258	22292	28834	17354	19592	27085	2943	87747
218	CAGL0B00616g	68	240	155	327	196	277	166	61	580
219	CAGL0B00638g	118	246	215	111	229	241	70	115	705
220	CAGL0B00660g	1258	5704	3712	2913	3069	4169	1918	2574	11277
221	CAGL0B00682g	594	1988	1534	825	1381	1538	570	462	4293
222	CAGL0B00704g	12497	43628	46892	22382	39116	42988	19487	12009	154047
223	CAGL0B00726g	8	23	29	9	41	29	3	1	75
224	CAGL0B00748g	628	2902	2536	1780	2388	3510	1311	2859	10132
225	CAGL0B00770g	198	992	930	312	674	946	274	395	2860
226	CAGL0B00792g	278	54	124	247	139	78	225	27	474
227	CAGL0B00814g	1777	9564	7264	4889	6310	11146	3097	6724	29802
228	CAGL0B00836g	473	941	1188	807	862	1058	632	273	4973
229	CAGL0B00858g	739	3257	2714	1516	2767	3579	974	3981	9957
230	CAGL0B00880g	343	447	486	520	420	370	470	32	1375
231	CAGL0B00902g	4694	7859	8779	9890	10320	11916	8210	5346	32720
232	CAGL0B00924g	57	106	214	106	161	215	82	15	625
233	CAGL0B00946g	3966	23046	26696	8694	26303	33679	5937	16110	94321
234	CAGL0B00968g	152	417	294	236	250	394	110	398	1152
235	CAGL0B00990g	3548	8519	5807	9843	5664	6550	7579	2201	19172
236	CAGL0B01012g	110	217	480	81	352	279	65	93	1479
237	CAGL0B01078g	102	292	739	124	611	595	100	74	2588
238	CAGL0B01100g	761	5535	5333	4076	5275	7286	1860	587	18598
239	CAGL0B01122g	3358	3886	4342	2364	2627	2341	2320	316	10930
240	CAGL0B01144g	413	2319	1768	1054	1435	2156	599	543	5371
241	CAGL0B01166g	1195	2482	2959	2426	2560	3440	1971	1700	10123
242	CAGL0B01188g	504	959	1027	1106	917	1315	896	233	3500
243	CAGL0B01203g	55351	57443	50551	61425	44478	46155	32234	17427	167147
244	CAGL0B01232g	115	38	170	140	167	169	118	185	627
245	CAGL0B01243g	3	1	3	5	1	3	5	1	9
246	CAGL0B01265g	95	222	157	209	116	223	85	108	570
247	CAGL0B01287g	442	674	788	746	522	727	629	506	2286
248	CAGL0B01331g	649	1951	1750	1243	1692	1829	969	479	5687
249	CAGL0B01353g	778	1928	2049	1425	1511	2027	919	1560	8183
250	CAGL0B01375g	4346	5751	7382	6996	6810	9512	4860	4161	29368
251	CAGL0B01397g	1630	1680	1383	2814	1613	1712	1406	1851	6766
252	CAGL0B01419g	1368	5901	5599	3620	5141	5624	2966	1762	16632
253	CAGL0B01441g	1167	2814	2419	2282	2487	3258	1441	1374	8900
254	CAGL0B01463g	764	862	1175	1016	968	1151	788	386	3739
255	CAGL0B01485g	1353	1943	1444	2647	1761	2267	1761	1776	5088
256	CAGL0B01507g	428	368	374	1029	409	497	808	149	1642
257	CAGL0B01529g	173	550	740	431	477	642	324	170	1876
258	CAGL0B01551g	560	1565	2112	1071	1718	2001	900	333	8432
259	CAGL0B01573g	455	765	1006	799	989	1060	767	125	3370
260	CAGL0B01589g	783	1491	1469	1503	1455	1793	1025	247	4601
261	CAGL0B01595g	15	118	96	33	90	108	49	1	301
262	CAGL0B01617g	350	614	615	542	587	718	474	331	2042
263	CAGL0B01639g	658	2290	2217	1522	1801	2784	1121	1153	8282
264	CAGL0B01683g	1035	1960	2410	1330	2125	1756	1579	189	6739
265	CAGL0B01705g	388	757	1001	641	767	887	570	257	3316
266	CAGL0B01727g	43	550	403	140	343	357	95	197	1154
267	CAGL0B01771g	266	529	303	471	310	349	330	155	825
268	CAGL0B01793g	1101	3298	2658	1629	2315	2941	1210	792	7060
269	CAGL0B01815g	1076	2142	1845	1371	1599	1998	1244	605	4991
270	CAGL0B01837g	334	711	762	636	661	816	461	56	2632
271	CAGL0B01859g	242	644	536	410	459	600	241	279	2077
272	CAGL0B01875g	14	17	24	9	13	8	7	1	95
273	CAGL0B01881g	1213	1166	1085	1598	1259	1111	1084	602	3654
274	CAGL0B01903g	1012	2240	1927	1841	1783	2171	1488	2005	6300
275	CAGL0B01925g	532	2588	2667	1157	2348	3578	850	1432	9598
276	CAGL0B01947g	115	888	436	479	589	704	232	320	2390
277	CAGL0B01969g	17	42	70	64	119	142	33	13	237
278	CAGL0B01991g	240	1071	965	673	900	1134	487	403	3162
279	CAGL0B02013g	470	1478	1502	990	1285	1824	771	752	6031
280	CAGL0B02035g	2245	10912	10974	4681	10076	12017	4108	4371	46521
281	CAGL0B02057g	53	26	106	81	52	76	133	17	275
282	CAGL0B02079g	3	3	1	1	3	5	5	1	11
283	CAGL0B02101g	224	820	777	328	629	738	272	216	2047
284	CAGL0B02123g	280	506	636	445	420	568	355	88	1817
285	CAGL0B02145g	780	1878	1677	1641	1307	1457	1480	866	4797
286	CAGL0B02167g	1502	3133	3160	2388	2757	3726	2158	1519	10138
287	CAGL0B02189g	2101	3793	3368	2963	3285	3506	2296	1409	14596
288	CAGL0B02211g	400	1915	2403	547	2093	2311	648	554	7961
289	CAGL0B02233g	330	1752	1673	559	1435	1941	329	216	5838
290	CAGL0B02255g	1003	1562	1814	1392	1554	1963	1111	283	4359
291	CAGL0B02277g	403	393	312	568	493	472	422	412	1148
292	CAGL0B02299g	735	573	992	1053	871	1153	858	1005	4082
293	CAGL0B02321g	1003	1435	1606	1980	1554	1792	1556	303	5015
294	CAGL0B02343g	1324	1513	1713	1857	1376	2001	1320	1088	6845
295	CAGL0B02365g	1163	4585	3066	2708	3110	4311	1546	928	8678
296	CAGL0B02387g	114	634	559	385	490	782	238	140	1636
297	CAGL0B02409g	409	1642	1052	703	1055	1288	614	1009	3272
298	CAGL0B02431g	469	900	1329	1391	1315	1392	1137	256	5226
299	CAGL0B02453g	6170	13560	16853	11466	19750	24852	13755	20900	48940
300	CAGL0B02475g	6889	11029	10364	8948	10783	8963	9649	1229	46028
301	CAGL0B02497g	2122	4425	6955	6786	6716	8506	4807	884	21382
302	CAGL0B02519g	902	1561	1410	1279	1304	1025	1160	145	4400
303	CAGL0B02541g	550	1366	1155	991	1044	1216	757	393	3699
304	CAGL0B02563g	362	1066	1365	802	1511	1840	552	142	5688
305	CAGL0B02585g	4526	12354	11216	5014	9670	9900	4627	1618	27698
306	CAGL0B02607g	663	538	907	828	872	872	1025	273	2986
307	CAGL0B02629g	1016	2645	2373	1749	2338	2902	1459	1483	8465
308	CAGL0B02651g	3	8	17	7	5	5	3	1	7
309	CAGL0B02673g	318	606	487	602	549	658	540	267	1900
310	CAGL0B02695g	282	1234	989	450	902	1152	373	254	2659
311	CAGL0B02717g	5558	14244	13623	12031	12767	15386	8264	3996	56943
312	CAGL0B02739g	267	2636	2017	716	1860	2480	469	767	7511
313	CAGL0B02755g	928	17087	12048	1885	10862	13052	1353	4844	42640
314	CAGL0B02761g	323	1422	1436	959	1169	1629	825	1326	5114
315	CAGL0B02772g	347	945	1366	578	1177	1626	323	757	5476
316	CAGL0B02794g	8252	13509	10389	8553	9733	10483	6049	4725	28365
317	CAGL0B02816g	386	453	680	678	594	715	592	276	2671
318	CAGL0B02838g	944	8572	12147	723	8461	9838	388	1385	32937
319	CAGL0B02860g	1388	8403	11251	7837	12468	18371	5926	989	49875
320	CAGL0B02882g	1638	2834	4435	2602	3897	5399	1473	3289	20735
321	CAGL0B02904g	46	365	256	135	314	382	110	194	1218
322	CAGL0B02926g	4	26	18	10	16	19	16	20	67
323	CAGL0B02948g	84	262	176	93	185	279	75	199	681
324	CAGL0B02970g	288	288	461	1244	365	422	1337	66	1220
325	CAGL0B03047g	17738	43404	33235	32579	35212	31251	25261	8258	111087
326	CAGL0B03069g	21791	57885	63094	65048	57754	77419	55823	41279	235764
327	CAGL0B03091g	1077	1439	1428	2224	1716	2254	1642	2529	7468
328	CAGL0B03113g	222	739	1045	376	694	777	328	134	2751
329	CAGL0B03179g	500	1679	1278	956	1248	1666	804	1008	4664
330	CAGL0B03201g	61	170	161	49	134	145	109	27	637
331	CAGL0B03223g	9	9	3	7	1	3	3	1	7
332	CAGL0B03245g	7185	8399	10529	11716	10369	12892	8752	8960	48749
333	CAGL0B03267g	1887	5019	4215	2857	3858	5551	2207	4767	14449
334	CAGL0B03289g	126	816	562	170	516	656	169	256	1568
335	CAGL0B03311g	136	441	644	202	475	601	174	34	1838
336	CAGL0B03333g	921	1636	2019	1355	1763	2033	1160	813	6653
337	CAGL0B03355g	273	976	820	605	717	922	398	591	2470
338	CAGL0B03377g	689	1612	1456	1067	1655	1933	887	1222	6260
339	CAGL0B03399g	566	1230	1438	1219	1300	1375	975	300	4612
340	CAGL0B03421g	1179	4054	4511	3103	5784	5687	1925	1530	19812
341	CAGL0B03443g	204	959	770	387	584	801	304	233	2447
342	CAGL0B03465g	42	525	452	197	350	440	67	90	1992
343	CAGL0B03487g	74060	58277	80331	101785	74787	88979	76442	53591	328059
344	CAGL0B03509g	776	4051	3953	2287	3514	4676	1512	2168	13746
345	CAGL0B03531g	213	899	808	676	876	1035	473	285	3372
346	CAGL0B03553g	1089	1430	1990	1578	1711	1713	1387	988	7272
347	CAGL0B03575g	944	1994	2216	1748	2001	2423	1106	511	8401
348	CAGL0B03597g	1159	5402	4208	2591	3712	5026	1571	2625	13451
349	CAGL0B03611g	39	5	19	27	5	32	6	1	95
350	CAGL0B03619g	1779	17586	23209	6475	19874	24157	4529	2346	103823
351	CAGL0B03641g	323	316	586	855	527	688	603	106	2338
352	CAGL0B03663g	514	14873	7609	2067	7482	12724	902	4175	26959
353	CAGL0B03685g	5722	9280	12407	8904	9046	9489	13000	1979	37191
354	CAGL0B03707g	748	2081	1495	1535	1395	1791	966	1415	5437
355	CAGL0B03773g	3076	4994	5672	4169	5308	6234	3723	2431	20107
356	CAGL0B03795g	3393	6415	4680	5013	4313	4659	2976	1890	17048
357	CAGL0B03817g	542	3372	2257	1346	1903	3402	1211	987	6866
358	CAGL0B03839g	154	703	829	190	590	655	109	129	1848
359	CAGL0B03855g	882	2720	2222	1819	1966	2243	1344	420	6631
360	CAGL0B03861g	1	1	7	4	4	1	1	1	7
361	CAGL0B03883g	1181	3030	2520	1967	2686	3061	1433	931	8346
362	CAGL0B03899g	3	25	23	16	20	53	18	31	151
363	CAGL0B03905g	473	1257	1178	779	896	1289	644	373	3318
364	CAGL0B03927g	1110	1917	2010	1306	1799	1708	1136	593	6096
365	CAGL0B03949g	1721	2886	4292	1891	3422	4399	1731	2272	14266
366	CAGL0B03971g	775	1173	909	1260	1038	1328	889	719	3913
367	CAGL0B03993g	3799	4214	3868	4761	4177	3371	4192	749	15655
368	CAGL0B04015g	662	3161	2423	1109	1984	2287	872	1033	7566
369	CAGL0B04037g	1894	9297	7287	5184	7124	10973	3897	5962	27656
370	CAGL0B04059g	434	3481	2366	1330	1953	3184	809	500	9221
371	CAGL0B04103g	233	1105	1041	389	1022	945	211	417	2633
372	CAGL0B04125g	1664	1179	1430	2520	1606	1253	2087	517	6018
373	CAGL0B04147g	1216	2159	2668	2573	2671	3049	1904	1692	12041
374	CAGL0B04169g	1214	594	850	2034	1029	1016	1615	575	3710
375	CAGL0B04191g	485	1208	1292	1156	988	1424	834	342	4744
376	CAGL0B04213g	53	141	182	119	133	218	112	49	772
377	CAGL0B04235g	47	79	136	109	128	113	103	1	443
378	CAGL0B04257g	83914	52751	87101	99610	85576	100485	62719	72490	323686
379	CAGL0B04279g	998	1292	1409	1407	1238	1432	923	1846	4936
380	CAGL0B04301g	776	1632	1660	1932	1677	2095	1376	722	6474
381	CAGL0B04323g	1195	4200	3846	2671	3769	4799	1733	1519	16799
382	CAGL0B04345g	10388	13908	15263	15939	13962	16223	9782	4359	46818
383	CAGL0B04367g	213	744	678	386	621	733	310	111	2500
384	CAGL0B04389g	849	1120	3363	1257	2680	2783	1623	489	14563
385	CAGL0B04411g	328	763	1044	591	811	909	489	351	3656
386	CAGL0B04433g	2315	622	1106	1953	1124	1182	1295	152	4250
387	CAGL0B04455g	150	145	128	132	127	174	100	37	516
388	CAGL0B04477g	494	2361	1700	1249	1783	2435	828	1450	5312
389	CAGL0B04499g	2458	7528	6650	5458	5964	6909	3919	1921	20761
390	CAGL0B04521g	2143	5341	5430	4844	4853	6507	3804	2165	18874
391	CAGL0B04543g	994	3532	3724	2492	3785	5508	1611	2027	13091
392	CAGL0B04565g	3234	8243	7711	8192	6476	8330	5509	1343	31587
