	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
3033	CAGL0J02420g	1624	2073	2225	2647	2277	2649	1683	1153	7798
3034	CAGL0J02442g	864	1036	1517	1157	1389	1271	1440	250	5273
3035	CAGL0J02464g	240	558	613	337	468	560	325	197	2572
3036	CAGL0J02486g	788	1342	1667	1393	1586	1458	1257	407	5582
3037	CAGL0J02508g	811	2557	1530	2339	2646	2685	1487	1522	6296
3038	CAGL0J02530g	13	395	415	43	288	482	22	126	1251
3039	CAGL0J02552g	1	1	1	1	1	1	1	1	3
3040	CAGL0J02618g	161	619	661	338	431	619	266	84	2118
3041	CAGL0J02640g	751	1842	1261	1266	1179	1670	1060	494	3921
3042	CAGL0J02662g	568	1856	1606	1378	1269	1910	718	290	5583
3043	CAGL0J02684g	1445	3906	4701	2095	4082	4524	1601	1538	14263
3044	CAGL0J02706g	3	5	7	1	1	3	1	1	3
3045	CAGL0J02728g	346	516	1024	487	893	767	471	157	3638
3046	CAGL0J02750g	1297	6317	4769	1883	3983	4492	1518	2153	15278
3047	CAGL0J02794g	618	1497	1308	1105	1199	1419	741	1218	3365
3048	CAGL0J02816g	2639	1210	1514	3191	1546	1247	2454	595	5777
3049	CAGL0J02838g	764	1684	1275	1257	1139	1364	821	461	4335
3050	CAGL0J02860g	105	306	237	156	280	286	169	67	787
3051	CAGL0J02882g	6437	11913	12593	9370	11861	14697	7398	6077	44795
3052	CAGL0J02904g	1818	7158	6864	4085	6486	9431	2601	4983	24320
3053	CAGL0J02926g	3015	9204	6257	7531	6917	9897	4257	7498	20207
3054	CAGL0J02948g	5011	2568	5789	5210	5446	4941	4687	861	28392
3055	CAGL0J02970g	541	942	1623	1403	1274	1841	1432	449	5284
3056	CAGL0J02992g	1311	3725	3226	2836	3173	3780	2263	899	10092
3057	CAGL0J03014g	659	1461	1246	1546	1329	1178	943	555	4844
3058	CAGL0J03058g	247	3327	1854	2010	2408	3414	894	1492	10287
3059	CAGL0J03080g	119	2403	1332	429	1420	1852	171	827	4748
3060	CAGL0J03102g	1003	3704	2161	2126	2594	2942	1128	550	8872
