"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"54","CAGL0D04884g",2065.06593380874,-1.41663069399159,0.202521588394488,5.29183991403841e-11,"","CAL0128415","YPR137W","RRP9","S000006341"
"55","CAGL0D05236g",460.000126189096,-1.61208116267968,0.209180729835334,3.67402572033494e-13,"","CAL0128143","YFR032C","RRT5","S000001928"
"56","CAGL0D05500g",1581.50754092778,-1.24264995352623,0.207453885819631,2.65259488539686e-08,"","CAL0128387","YGR187C","HGH1","S000003419"
"57","CAGL0D05588g",1478.81763664286,-1.02951874878817,0.207448296323632,5.60203492254974e-06,"","CAL0128449","YLL011W","SOF1","S000003934"
"58","CAGL0E00517g",1441.83943142407,-1.69562039959671,0.247757164016741,1.43971582516576e-10,"","CAL0128900","YCR087C-A","YCR087C-A","S000007223"
"59","CAGL0E00979g",1786.2560924432,-1.24166844273679,0.181834477997161,1.59612435618316e-10,"","CAL0128862","YDR165W","TRM82","S000002572"
"60","CAGL0E01331g",6508.71482263662,-1.37745867624974,0.171837335348582,3.54937441606326e-14,"SWI5","CAL0128722","YDR146C","SWI5","S000002553"
"61","CAGL0E01925g",825.701505638371,-1.52076439462159,0.182254383261215,2.89485352613198e-15,"","CAL0128920","YOL124C","TRM11","S000005484"
"62","CAGL0E02255g",868.379038829294,-2.95808681022397,0.353842326582253,2.55472556576809e-15,"","CAL0129082","YOL109W","ZEO1","S000005469"
"63","CAGL0E02343g",841.696177487563,-1.61648313492593,0.192664011594712,2.04217108100578e-15,"","CAL0128994","YOL010W","RCL1","S000005370"
"64","CAGL0E02673g",1399.3989380187,-1.6849612496788,0.201371010467124,2.4562778156565e-15,"","CAL0128912","YOR004W","UTP23","S000005530"
"65","CAGL0E02959g",755.635160182615,-1.00215175717756,0.168338216379995,3.27436072085014e-08,"","CAL0128648","YGR150C","CCM1","S000003382"
"66","CAGL0E03069g",1977.0665999256,-1.35645817907211,0.212013733085454,2.36699509187808e-09,"","CAL0128576","YGR145W","ENP2","S000003377"
"67","CAGL0E03245g",6335.1071787504,-1.85203956816357,0.223857493484346,4.97941773588476e-15,"","CAL0129126","YGR159C","NSR1","S000003391"
"68","CAGL0E03289g",4251.44938695631,-1.52722747441676,0.227492138158793,3.27274614505474e-10,"","CAL0128684","YGR162W","TIF4631","S000003394"
"69","CAGL0E05434g",566.193868756725,-1.17053236049477,0.235892650632615,5.61128382068089e-06,"","CAL0128864","YOR337W","TEA1","S000005864"
"70","CAGL0E05456g",1496.35990855116,-1.91228826695954,0.376856077358534,3.25544444023882e-06,"","CAL0128820","YOR338W","YOR338W","S000005865"
"71","CAGL0E05478g",1735.9209079457,-1.66607885166343,0.206200104059887,2.20717344684653e-14,"","CAL0128572","YOR340C","RPA43","S000005867"
"72","CAGL0E05500g",2628.21479392375,-1.49677334079957,0.283084875619362,1.1546386778292e-06,"","CAL0128962","YOR341W","RPA190","S000005868"
"73","CAGL0E05522g",594.29296797979,-2.04890321742269,0.206081380090622,2.5759538866573e-21,"","CAL0128916","YOR342C","YOR342C","S000005869"
"74","CAGL0E05764g",824.008845605984,-1.22138794763813,0.190254312152072,2.07043605590907e-09,"","CAL0128858","YPL212C","PUS1","S000006133"
"75","CAGL0E05874g",2790.20100744365,-1.3659640848669,0.169566756531741,2.65693584616112e-14,"","CAL0128694","YPL217C","BMS1","S000006138"
"76","CAGL0F00407g",4818.89258720016,-1.91182275345758,0.180808308671191,4.5913247609163e-24,"","CAL0129185","YJR070C","LIA1","S000003831"
"77","CAGL0F00561g",1102.58162912899,-1.55349066502255,0.220731847666375,3.97114198035392e-11,"","CAL0131128","YJR063W","RPA12","S000003824"
"78","CAGL0F01023g",1328.87706339332,-1.3904995838455,0.187390962685543,2.8394209907253e-12,"","CAL0130862","YOL041C","NOP12","S000005401"
