"","gene","baseMean","log2FC","stderror","padj"
"1","GWK60_M10923",15.0151782662224,5.08658565394549,1.53779156317229,0.00305587689918484
"2","GWK60_L06589",676.131277026852,4.3653453069283,0.284544234540501,1.11164437938643e-50
"3","GWK60_A00979",40978.246678894,4.28965397619457,0.144620524409454,1.26368326139459e-189
"4","GWK60_L09141",6026.35076790625,4.13124356485126,0.162181724590433,6.86359637135042e-140
"5","GWK60_K08481",1892.32143833331,3.88826259971436,0.213864691269714,3.82402639304273e-71
"6","GWK60_J03729",12477.2656252302,3.87389546898568,0.150709727366482,2.73497500168872e-142
"7","GWK60_G00187",5.17818601043231,3.69046741033916,1.31530239697925,0.0132614364538305
"8","GWK60_F03333",11448.1761009208,3.54366120423022,0.237873506320949,8.55942475752769e-48
"9","GWK60_C03487",27553.3853649607,3.38993883175036,0.215916271839267,4.63837029661406e-53
"10","GWK60_F06611",4660.09361622389,3.21082443011318,0.136154577565402,7.68065056080212e-120
"11","GWK60_D06105",40900.650331392,3.09499196916997,0.167867708618259,4.95066427648469e-73
"12","GWK60_B02717",10093.3779413215,3.06389048130545,0.15790116228471,6.24613986142332e-81
"13","GWK60_B03509",3737.73291434206,2.78581494096933,0.186248020133929,3.63872712903848e-48
"14","GWK60_K03773",9.77068105016764,2.6117603631656,1.11110098518472,0.0412012764160165
"15","GWK60_B00539",663.576667543727,2.58930161738011,0.259527813060141,1.59715790146926e-21
"16","GWK60_J06237",4809.46597340167,2.48481380563933,0.311884012433095,6.53967690571486e-14
"17","GWK60_M03751",22860.5323494796,2.47676518296008,0.138876193266004,1.82021044094251e-68
"18","GWK60_K06523",1239.70404441069,2.43399316713893,0.181036111382997,6.91570109248477e-39
"19","GWK60_E03113",4701.90916733616,2.39188802987145,0.346685613088376,1.13969101245149e-10
"20","GWK60_H00715",14.2916381610305,2.39089708992486,0.835473455660734,0.0113909637137251
"21","GWK60_C02255",15.9809156929964,2.38083609196458,1.00164693218096,0.0388314004994154
"22","GWK60_L06215",1036.4537451577,2.34175424373893,0.158779766503193,7.49050776760027e-47
"23","GWK60_M07381",3004.32371640387,2.32122444851142,0.13387344322623,9.62570460154868e-65
"24","GWK60_D06589",10449.9054749565,2.30530636798373,0.144683513514975,1.29573334735198e-54
"25","GWK60_J08173",9623.70788859384,2.30499657425509,0.125928906647258,4.47562283574067e-72
"26","GWK60_L04741",17969.3892053572,2.30217590026919,0.14344130111833,2.15084137726903e-55
"27","GWK60_H09955",1669.56581540505,2.25507765965211,0.172447128188283,8.64855297834108e-37
"28","GWK60_K08085",10097.1093775626,2.25486258184496,0.108155753723071,1.65358520266109e-93
"29","GWK60_F01551",73964.7564993829,2.23997733264431,0.161087818671467,1.28243871722916e-41
"30","GWK60_K03003",1135.36415170295,2.21850097609211,0.317423032679075,6.43566375528088e-11
"31","GWK60_M01661",16542.3993755511,2.11978930644383,0.166471016430942,6.93543144030953e-35
"32","GWK60_K04477",3681.06109715261,2.10236828922621,0.170668960875026,1.11010127726201e-32
"33","GWK60_D01595",2292.10105096399,2.06067500943705,0.160892410396153,2.77238352616567e-35
"34","GWK60_I01045",15270.0949180994,2.01969913555209,0.220595534276773,3.873396582175e-18
"35","GWK60_L14685",31674.2961301045,2.00612627543563,0.12682633822449,7.66047187623302e-54
"36","GWK60_F06457",23861.5819902474,1.99960184077711,0.33325927049158,2.57326246660382e-08
"37","GWK60_G02453",15383.5013563393,1.97177511788762,0.272099987271928,1.18429492359375e-11
"38","GWK60_J03971",18394.1727037761,1.9631730888157,0.125637112888761,1.41384783634775e-52
"39","GWK60_K04235",8237.71371335207,1.91428296585966,0.104165696438036,1.30658834931271e-72
"40","GWK60_M07623",1813.50670282351,1.91215987963974,0.312743595922242,1.38069005109422e-08
"41","GWK60_K05533",4879.76513530193,1.90217302205868,0.216838227221724,1.07776646139119e-16
"42","GWK60_C03047",25604.8629710558,1.89904660561137,0.24224020579958,1.67887739509004e-13
"43","GWK60_C04257",5258.7137130787,1.89159633343917,0.185265246901003,1.66820211592414e-22
"44","GWK60_H09559",4588.04809546734,1.87989870198157,0.256981180394882,7.42520125961286e-12
"45","GWK60_K07623",32905.6515433759,1.8641471105605,0.232800170065643,4.98143917239929e-14
"46","GWK60_G02431",313.918674198523,1.85032891510771,0.258499796177644,2.08068573062894e-11
"47","GWK60_E03707",2815.51960448104,1.83830730814219,0.194771658390201,2.7938376605065e-19
"48","GWK60_F07513",2091.33880780764,1.82680619540647,0.153430011608962,1.59269577659619e-30
"49","GWK60_K10571",2517.62054449963,1.79977074052464,0.25037311531838,1.69915228328853e-11
"50","GWK60_M12023",33.6883164723335,1.7940576873481,0.596442982161792,0.00753957537968289
"51","GWK60_K11715",1124.80069000707,1.78847503983899,0.172018912712243,2.52762041487338e-23
"52","GWK60_C01441",2562.16600337157,1.78836246604218,0.216438303891961,7.03264767576178e-15
"53","GWK60_M12463",13065.8912779312,1.78436636601842,0.207039039026834,3.85926217428021e-16
"54","GWK60_L08437",1865.46817016722,1.77957500090375,0.219566125745174,2.36031981344263e-14
"55","GWK60_J02871",15727.5931065507,1.77099816800261,0.229198909375497,3.92346811545756e-13
"56","GWK60_B02607",6291.57425683898,1.76597158218232,0.141032903014019,9.29131296961e-34
"57","GWK60_G08745",3376.36625349283,1.75550303857363,0.310233299498859,1.56266536581633e-07
"58","GWK60_I02739",2200.05944300658,1.72290234084927,0.237500320034443,1.12390971320436e-11
"59","GWK60_D06083",37999.649353392,1.7177975954241,0.196151371825247,1.20087701775285e-16
"60","GWK60_H06567",736.756339759012,1.68839836020314,0.140016702014292,2.61452495921164e-31
"61","GWK60_B00847",760.534214835762,1.67946786397948,0.225947422626341,3.38804207266875e-12
"62","GWK60_K00561",6424.26392133855,1.65256189356778,0.562999332725706,0.00924325274802261
"63","GWK60_J03575",3020.2790779674,1.62523316065528,0.142030956165686,3.26137413101878e-28
"64","GWK60_M11363",487.317684888152,1.62435029678874,0.299440801251982,5.24125708716215e-07
"65","GWK60_G09163",12949.4724983185,1.62079002786507,0.153895383587796,6.58705823590497e-24
"66","GWK60_K11869",10159.9727353675,1.61428560081785,0.122598372655616,2.72590493778547e-37
"67","GWK60_K06215",31240.09029224,1.60983100689575,0.166102728728892,2.59150307511414e-20
"68","GWK60_L11957",14908.3730887859,1.60495127010019,0.304918077771405,1.16467427784153e-06
"69","GWK60_M04103",34740.2988237949,1.6033041460184,0.136539136165163,1.06354212391159e-29
"70","GWK60_M04037",6247.42551596881,1.58686079223997,0.151198104006131,9.32308699132823e-24
"71","GWK60_M07645",69094.7084913104,1.57626660928803,0.201396106152608,1.84608382841071e-13
"72","GWK60_K04345",108631.324182739,1.57349578092199,0.147236243280721,1.27852973628142e-24
"73","GWK60_K04037",3148.15901339823,1.56022310812504,0.20442495343508,7.89153405649602e-13
"74","GWK60_F08283",222907.502423313,1.54405974828768,0.18292189200505,1.66218045074409e-15
"75","GWK60_L09493",4603.77540293864,1.54300061012009,0.149055113446246,3.90502814647569e-23
"76","GWK60_M07733",87.5843597859051,1.51733962108547,0.382276406659253,0.000307998778068536
"77","GWK60_E01551",8082.02199642303,1.46143237691961,0.222895251342567,1.02179485382249e-09
"78","GWK60_C00033",362.1856488492,1.45434394079296,0.200763897510488,1.19962478488425e-11
"79","GWK60_J04103",117.931110194198,1.44883681116455,0.419598628114041,0.00193250810030821
"80","GWK60_H09471",1434.19298940636,1.43921742026825,0.199681617565516,1.51959741999025e-11
"81","GWK60_H06457",1284.98445712717,1.43587929001331,0.157945882723201,6.8510088503897e-18
"82","GWK60_A01683",2503.83336590584,1.42832359100937,0.220716022512834,1.70634837697672e-09
"83","GWK60_A03795",2224.18821960987,1.42808668952926,0.239709166431404,3.25218656409345e-08
"84","GWK60_H02343",3465.23203578927,1.42012647663568,0.170466430601626,4.04019692405043e-15
"85","GWK60_F01243",2295.02093575502,1.40979200484478,0.238723272073033,4.26824903419749e-08
"86","GWK60_C04367",9244.99109740742,1.38371860067943,0.188323698290507,6.00322813498444e-12
"87","GWK60_C00143",29218.4737349101,1.37671454170023,0.169480629501505,2.04975299908907e-14
"88","GWK60_J04939",5700.3225979891,1.37552824399526,0.130692760995169,6.94361506151614e-24
"89","GWK60_D05291",229.942923975571,1.37499453857273,0.231835853805187,3.71915723541946e-08
"90","GWK60_C04543",7718.13038507985,1.37266728430572,0.185959862537623,4.81796448375539e-12
"91","GWK60_L15873",1478.71929582626,1.36451289563518,0.224910693784497,1.78661256616094e-08
"92","GWK60_D04191",6714.24351728435,1.36292562208948,0.135215643653232,6.02988578908712e-22
"93","GWK60_G00451",9253.51317766967,1.36229301209655,0.11816865741553,1.24195631231327e-28
"94","GWK60_C00957",18094.4994303852,1.36200703572775,0.141767436685548,5.81615299479588e-20
"95","GWK60_B03751",57.9453105920254,1.34677320750322,0.521650595799692,0.0238194959796075
"96","GWK60_A01815",10249.9377093008,1.34610817095712,0.26247783108045,2.18107252015554e-06
"97","GWK60_M00033",277.542523944109,1.34312111464329,0.255790874729024,1.23070414350946e-06
"98","GWK60_E01595",426.759369245912,1.33860312935278,0.209164237280103,2.61046758029843e-09
"99","GWK60_L12397",3309.1136584147,1.31830162636501,0.137702633134986,7.95158726074149e-20
"100","GWK60_F04433",15459.8079897603,1.31636028445959,0.222370089014684,3.94205466491848e-08
"101","GWK60_J03795",138.735633862797,1.31378917084253,0.362950619065888,0.00111332096550947
"102","GWK60_M06919",777.988170498062,1.30888886529854,0.371090031058101,0.00151211640630364
"103","GWK60_J11341",22218.3908780573,1.3076912320131,0.218295338529304,2.71749918021111e-08
"104","GWK60_H08217",451.236746174837,1.30440517500348,0.302901506953851,8.08771589499135e-05
"105","GWK60_G07315",34295.2714401238,1.30287575598799,0.129480991418109,7.07347345488395e-22
"106","GWK60_F00517",225.187063201736,1.2963684446638,0.250015465699666,1.67859425537202e-06
"107","GWK60_A01969",414.857649036479,1.28804036055067,0.23956470545664,6.66643329783443e-07
