Geneid	BG2_RPMI_DMSO_A	BG2_RPMI_VORI_A	BG2_RPMI_FLUC_A	BG2_RPMI_DMSO_B	BG2_RPMI_VORI_B	BG2_RPMI_FLUC_B	BG2_RPMI_DMSO_C	BG2_RPMI_VORI_C	BG2_RPMI_FLUC_C
GWK60_I04653	29.544382706612705	16.9803273309218	15.801229632728543	32.86914206919923	21.933952591495846	22.066358336552437	28.150342021075705	29.538247267923115	20.956152118335833
GWK60_I04675	13.438247652506114	10.824803856473851	13.762871010106561	13.2293583280429	12.127571884715302	10.117381687905464	10.211125054225677	14.347148672991228	11.170024478169571
GWK60_I04697	11.391455730643312	5.06561187333845	6.731323823542359	10.74688966316074	9.258683911986951	4.79703442098966	11.382893503071246	8.801192043095458	9.390728543593887
GWK60_I04719	66.71130084636964	83.71264218067135	87.87063798760343	72.51008157234915	92.92588951664649	97.07453291929984	78.82932743364658	92.7139271389097	93.3141867910803
GWK60_I04741	143.55775065754955	114.0691573433915	119.89973045314419	144.9573158367266	140.37990466554862	113.38444995066469	130.3592399340696	141.30132978777914	113.57839049041449
GWK60_I04763	1064.4588416258755	1181.154541625105	1277.4978133468371	1205.7727389180477	1233.4392626749263	2233.4992264127854	963.3192115705774	2396.6972140369126	1684.400151398314
GWK60_I04785	231.80977200573045	234.6034721388189	230.3503255859167	249.39382985869943	286.5367064761821	201.12657045094826	228.02056029559142	213.2782017018612	191.1754631927429
GWK60_I04807	25.66253595825222	45.59050686004605	52.94992049927335	25.516007036510295	48.314681540720635	48.49365705582274	29.238412723575166	55.218437749831786	57.03631968056498
GWK60_I04829	29.233834966743867	28.919813506712178	31.286434672802518	36.42001496960029	36.89129124931139	38.37627536791728	28.554881128415246	43.52370311722549	37.85946349680483
GWK60_I04851	66.88069052266172	33.19276239742554	34.39927691045004	57.74096419899959	48.15819674220818	28.782206525937955	51.139323017474496	30.98501856267853	32.1261765965054
GWK60_I04873	38.08444555300577	31.273031736380407	32.471526895257156	39.4366857522419	35.600291661583626	28.433331295320528	40.74685284616558	38.70113213470743	30.54458021021591
GWK60_I04895	125.06604432899597	183.42716832308665	174.19275547119946	132.96919184112477	163.26580644799526	132.3981500193146	143.37423949089006	150.70534320368938	181.88358442329212
GWK60_I04917	29.600845932043402	36.02900963213093	41.84165606746518	33.2933613980082	44.415601977785286	36.98077444544756	40.23071674369789	40.991853351403506	42.70310242981641
GWK60_I04939	22.00654211161453	11.505998607167287	12.198549276466435	22.625030869812086	14.070591466244958	10.55347572617725	23.03082986957185	8.680627768532506	15.519414540465686
GWK60_I04961	17.46125246444334	29.204676766093066	30.069739991082418	19.01131066143932	36.9304124489395	31.224333140259965	20.68729297188071	36.16928236888545	34.69627072422583
GWK60_I04983	25.28140918659501	67.46305103685707	80.83909080103923	27.55854454559055	77.40781366416132	75.0081745827474	30.256735304119527	89.57925600027296	74.33503015560635
GWK60_I05005	8.794147360831207	16.001883961743953	20.557399752179833	12.286648708467396	18.556489023602015	19.973106952847854	9.97398143957836	18.084641184442724	20.06650415104799
GWK60_I05027	10.784476057263308	15.469313520292722	16.907315707019542	15.460437761038259	16.183136246163105	11.774539033338256	14.256516127621095	15.311662869494839	17.891809119899932
GWK60_I05049	55.98328801453702	44.83499995473151	45.1757155199709	47.57541213457708	44.06351118113226	42.213902904709	55.21261333965195	33.03461123024871	41.3192055918131
GWK60_I05071	83.32560492935251	74.5598618031723	82.57722606063938	85.31522057158307	90.1091631434223	84.95111865534416	82.90261775582405	81.38088532999225	75.22467812289419
GWK60_I05093	41.37342843434393	21.178964067014057	19.814741959441594	39.1224492123834	41.89880480170996	17.09488630025406	35.05540609462996	17.12012698793911	16.70561183018281
GWK60_I05115	129.39959688080205	113.9329183932528	109.85014840672883	122.7565042957235	117.74177048074674	102.83097422448743	116.70255765526232	92.11110576609494	101.32101849667089
GWK60_I05137	30.207825605423405	41.29278725112565	45.22311920886909	36.12149025673471	40.76429001249466	35.323617100014765	32.05623685056094	43.64426739178844	35.68476846565677
GWK60_I05159	17.263631175435897	23.755118760545592	27.13071127939491	21.572338461286105	30.501495310052785	24.072390912602653	21.426623064604698	28.0914759731677	28.567584727354035
GWK60_I05181	3.9665415865065317	6.3660745792077345	5.941262341905932	4.1322104991392905	6.546280737771055	5.494784882224519	3.6129527172738394	7.113292199214138	6.326385545157987
GWK60_I05203	24.632082094141982	26.46751240421581	29.248076050180536	33.057683993114324	21.255851797941872	33.40480333161891	35.12515421658505	31.226147111804437	37.66176394851864
