"","gene","baseMean","log2FC","stderror","padj","gene_id_cbs138"
"1","GWK60_A00341",6152.06768530472,1.16994098109774,0.130246299922815,4.96416998996474e-18,"CAGL0A00451g"
"2","GWK60_A00979",29811.4570208671,4.29034235292131,0.1277179484063,1.13668023923466e-243,"CAGL0A01089g"
"3","GWK60_A01683",1893.87901214202,1.50798426657473,0.154490299172467,4.37403646423894e-21,"CAGL0A01870g"
"4","GWK60_A01815",8182.73971236344,1.53160572195132,0.17349860300409,1.85682818656697e-17,"CAGL0A02002g"
"5","GWK60_A01969",284.730114568496,1.1994627266673,0.272578613650203,3.89172120653106e-05,"CAGL0A02145g"
"6","GWK60_A02145",32.9131651739723,1.46977521925361,0.571945015235093,0.0207326515729989,"CAGL0A02343g"
"7","GWK60_A02541",223.860802472854,1.01551323687164,0.341695999482612,0.00678350238326527,"CAGL0A02706g"
"8","GWK60_A03795",1524.26587713839,1.31259230908944,0.166086574622757,3.22254070915671e-14,"CAGL0A03905g"
"9","GWK60_A04367",3614.33485423575,1.15823699840579,0.1112726149096,7.87093300767925e-24,"CAGL0A04477g"
"10","GWK60_B00055",25.2486378131507,1.81600347702045,0.787803451317137,0.0396784292916994,"CAGL0B00220g"
"11","GWK60_B00297",14.5352508585042,1.90121829694112,0.84929434098301,0.0465420800495045,"CAGL0B00462g"
"12","GWK60_B00781",16482.6701241003,1.10091148837371,0.116700459737727,8.89679000750658e-20,"CAGL0B00946g"
"13","GWK60_B00847",533.666075127853,1.62966353556056,0.248461210159711,3.90461897952992e-10,"CAGL0B01012g"
"14","GWK60_B01705",65.5004546688726,1.11276781079109,0.383583454591801,0.00834921731064706,"CAGL0B01875g"
"15","GWK60_B01771",5165.30480418576,1.06216100497571,0.11712184083968,2.3315356877593e-18,"CAGL0B01925g"
"16","GWK60_B02079",1936.16432436636,1.02618524562696,0.106298941660781,1.19230376374814e-20,"CAGL0B02233g"
"17","GWK60_B02233",961.9509728557,1.10805224445453,0.156979792018971,1.4378502143149e-11,"CAGL0B02387g"
"18","GWK60_B02409",9781.55165950529,1.1343648744334,0.152651936886297,1.05993659104115e-12,"CAGL0B02563g"
"19","GWK60_B02497",12.3305531259074,3.38900392540204,0.859516233444389,0.000251131835631918,"CAGL0B02651g"
"20","GWK60_B02607",4474.44086072153,1.7252789435868,0.121317474250753,1.22171006540188e-43,"CAGL0B02755g"
"21","GWK60_B02717",7263.82312243798,3.04840023094005,0.134719014267204,1.72444498789749e-110,"CAGL0B02838g"
"22","GWK60_B03245",7780.22216982425,1.11067293212933,0.178203503641161,2.99373913094482e-09,"CAGL0B03421g"
"23","GWK60_B03509",2422.97096149916,2.59837580208566,0.170233938947025,3.18202266874483e-50,"CAGL0B03663g"
"24","GWK60_B03641",5927.05389124422,1.242451154848,0.134990816897863,7.1935209142979e-19,"CAGL0B03817g"
"25","GWK60_B03663",474.069901757129,1.18034500249482,0.176037060540538,1.52457890488207e-10,"CAGL0B03839g"
"26","GWK60_B03751",44.8965777990677,1.62666748944383,0.414004885271481,0.000263908781834025,"CAGL0B03899g"
"27","GWK60_C00011",28.3774201670257,2.39036926205545,0.722933727662783,0.00240974512653955,"CAGL0C00110g"
"28","GWK60_C00033",277.083587754935,1.55548990464593,0.227461064288481,6.2896811272142e-11,"CAGL0C00209g"
"29","GWK60_C00143",22070.6859327663,1.45335656024167,0.126370572613268,8.77511937317364e-29,"CAGL0C00319g"
"30","GWK60_C00957",14342.446623231,1.5329951712835,0.179326904352164,1.85774623225821e-16,"CAGL0C01375g"
"31","GWK60_C01441",1962.99203832832,1.8889249699859,0.147942560291133,2.75677969741141e-35,"CAGL0C01837g"
"32","GWK60_C02849",3095.77667800293,1.01985920878659,0.169571347845059,1.09928945008687e-08,"CAGL0C03245g"
"33","GWK60_C03047",16161.61801189,1.63556561560386,0.12081018629956,1.43016182643535e-39,"CAGL0C03443g"
"34","GWK60_C03487",19963.8246831044,3.38420399676419,0.172384603756911,4.33810457282286e-83,"CAGL0C03872g"
"35","GWK60_C03729",13658.60737677,1.04187514306559,0.108234473404718,1.53903307778026e-20,"CAGL0C04191g"
"36","GWK60_C03861",1166.05161215328,1.07448847062912,0.206694028672779,9.54457893456706e-07,"CAGL0C04323g"
"37","GWK60_C04257",3874.5713412018,1.91830670817125,0.126051951559358,6.0772589863717e-50,"CAGL0C04763g"
"38","GWK60_C04367",6434.57918444339,1.29698738818344,0.154004177161746,5.26018649853369e-16,"CAGL0C04873g"
"39","GWK60_C04543",5490.99520250777,1.33083877745217,0.115773054233683,9.23547704061741e-29,"CAGL0C05027g"
"40","GWK60_C04785",3539.97332851593,1.00255328036502,0.114800785558789,4.1084071882227e-17,"CAGL0C05269g"
"41","GWK60_C04983",8.87777194592715,3.37288714417503,1.17912869610737,0.0094168681316417,"CAGL0C05467g"
"42","GWK60_C05049",2586.53757434459,1.2791885273628,0.110896047871737,5.97240801402593e-29,"CAGL0C05533g"
"43","GWK60_D00253",817.278311098288,1.15811673701474,0.153870540209725,5.31483177293775e-13,"CAGL0L00473g"
"44","GWK60_D01067",314.816442062881,1.27264909414063,0.21402606459731,1.64315012534542e-08,"CAGL0D00946g"
"45","GWK60_D01089",746.996240913139,1.17445613470816,0.177281463455064,2.54877824141317e-10,"CAGL0D00990g"
"46","GWK60_D01199",7108.31670260017,1.13880473720253,0.109881600231408,1.21388923315973e-23,"CAGL0D01100g"
"47","GWK60_D01595",1557.83146847258,1.94201517698844,0.167104299529136,2.23441537251978e-29,"CAGL0D01474g"
"48","GWK60_D02827",112.023367613286,1.31243183852842,0.304196866935496,5.64021986447649e-05,"CAGL0D02662g"
"49","GWK60_D04191",5027.42564422653,1.42364645234418,0.121145012684434,5.2569750004562e-30,"CAGL0D04026g"
"50","GWK60_D05269",108516.499459903,1.40127867910074,0.135174880649737,1.19034122695106e-23,"CAGL0D05082g"
"51","GWK60_D05467",1666.99623094506,1.16221553477692,0.165000755291786,1.59062023115824e-11,"CAGL0D05280g"
"52","GWK60_D06083",27539.8275445635,1.7121604439229,0.123484299419099,1.67877122217418e-41,"CAGL0D05918g"
