"","gene","baseMean","log2FC","stderror","padj","gene_id_bg2"
"1","CAGL0A00341g",269.112198921792,1.26120992782325,0.316601823955313,0.000353985162166353,"GWK60_A00231"
"2","CAGL0A00429g",4111.79678651023,1.95880650805294,0.315710417196541,7.74052052562652e-09,"GWK60_A00319"
"3","CAGL0A00451g",5965.39308531247,1.49368073894766,0.165636337420639,1.1856646315659e-17,"GWK60_A00341"
"4","CAGL0A01089g",13696.7847416658,4.47723467781301,0.210367722571556,8.1857315630408e-97,"GWK60_A00979"
"5","CAGL0A01826g",565.356722545206,2.66569141039346,0.764635975911942,0.00208007034967599,"GWK60_A01639"
"6","CAGL0A01870g",749.495912005287,1.13817786099577,0.203124447841148,2.25372012962598e-07,"GWK60_A01683"
"7","CAGL0A02145g",210.163474578575,1.51719243462532,0.308934096667917,7.08564343720763e-06,"GWK60_A01969"
"8","CAGL0A03905g",855.447273492433,2.26785182397498,0.271918218094918,2.92343064550676e-15,"GWK60_A03795"
"9","CAGL0A04477g",2410.4341806872,1.21188783680164,0.153899025029022,1.03114886028306e-13,"GWK60_A04367"
"10","CAGL0B00946g",18145.2997603536,1.44107002715248,0.166235227865705,2.14210517531206e-16,"GWK60_B00781"
"11","CAGL0B01012g",256.526457353357,1.2863396578675,0.361425580858295,0.00162855826485519,"GWK60_B00847"
"12","CAGL0B01078g",407.759446508762,1.82033576577675,0.239381859355278,7.83481032236965e-13,"GWK60_B00891"
"13","CAGL0B01727g",236.808886667719,1.21334657668737,0.265603792051865,3.34955940117391e-05,"GWK60_B01551"
"14","CAGL0B01925g",2031.1698009506,1.02915375994595,0.179076631476315,1.03822672358737e-07,"GWK60_B01771"
"15","CAGL0B02211g",1501.76967502501,1.2893751863092,0.197262452016506,9.95529974639439e-10,"GWK60_B02057"
"16","CAGL0B02233g",1130.98774803203,1.29427360865398,0.190073458028252,1.78489901535092e-10,"GWK60_B02079"
"17","CAGL0B02739g",1384.64170583225,1.42625187315743,0.199734354206275,2.01165687290283e-11,"GWK60_B02585"
"18","CAGL0B02755g",6778.49098873008,2.36458375460973,0.148543787925032,3.93873128048299e-54,"GWK60_B02607"
"19","CAGL0B02772g",1030.20503200049,1.04581016140163,0.205074180869584,2.877185185804e-06,"GWK60_B02651"
"20","CAGL0B02838g",5395.09321305612,2.98464776158519,0.348826561458129,5.16534424109938e-16,"GWK60_B02717"
"21","CAGL0B03465g",298.281802846598,1.5632637185394,0.344316198837765,3.76128783967128e-05,"GWK60_B03289"
"22","CAGL0B03619g",14997.9659093979,1.86525137353573,0.26113548250861,1.99128116011758e-11,"GWK60_B03465"
"23","CAGL0B03663g",5102.43314469307,2.2892392795991,0.29715430779316,3.73335148695344e-13,"GWK60_B03509"
"24","CAGL0B03839g",432.652831026158,1.28585128682957,0.280014792071857,3.00937990516089e-05,"GWK60_B03663"
"25","CAGL0C00319g",9571.2218987023,1.78268687609685,0.154302714077313,1.18708010644785e-28,"GWK60_C00143"
"26","CAGL0C01375g",8088.35439275263,1.93859279050792,0.187805847335846,6.21351456933677e-23,"GWK60_C00957"
"27","CAGL0C01771g",728.56336062652,1.16294149736714,0.371647757786405,0.00618911490840629,"GWK60_C01375"
"28","CAGL0C02233g",5018.47802853642,1.47139906284708,0.260341307226539,1.74297670669506e-07,"GWK60_C01837"
"29","CAGL0C02321g",660.554207031051,1.94517899599849,0.346734588675184,2.17356561964806e-07,"GWK60_C01925"
"30","CAGL0C02365g",280.733381194795,1.17092451282909,0.389591760374981,0.00880133481103348,"GWK60_C01969"
"31","CAGL0C03113g",6093.25247434005,1.13408313964273,0.206367405879838,3.96512436507887e-07,"GWK60_C02717"
"32","CAGL0C03245g",2688.82329303059,1.19185789073782,0.218624688301661,5.00741373650372e-07,"GWK60_C02849"
"33","CAGL0C03509g",1680.4522778014,1.47053141402842,0.198142375617947,2.82589523526816e-12,"GWK60_C03113"
"34","CAGL0C03872g",1261.86756334425,1.26278993233122,0.292635999057351,9.59329095978456e-05,"GWK60_C03487"
"35","CAGL0C04191g",2247.57819058774,1.20701940539967,0.214619961815309,2.01321106838096e-07,"GWK60_C03729"
"36","CAGL0C04323g",555.860659726859,1.429614108694,0.263339837202128,5.62461202874242e-07,"GWK60_C03861"
"37","CAGL0C04763g",1791.73415532737,2.3584642061061,0.190477069896372,7.80885170166007e-33,"GWK60_C04257"
"38","CAGL0C04873g",5329.17982650345,1.40225266191341,0.183744148692584,6.45072626121452e-13,"GWK60_C04367"
"39","CAGL0C05027g",5750.43413658542,1.94038271111906,0.29576920365373,8.60666404792931e-10,"GWK60_C04543"
"40","CAGL0C05533g",2172.3880944694,2.05583366773611,0.174175158754477,7.22989314628478e-30,"GWK60_C05049"
"41","CAGL0C05555g",1466.2959042245,1.03315122192206,0.189775905868789,5.19347243321269e-07,"GWK60_C05071"
"42","CAGL0D00154g",87.5013751475565,1.61253848192188,0.48808595920745,0.00371011077217934,"GWK60_I00033"
"43","CAGL0D00946g",337.324823597306,1.63236145954641,0.244018156651419,3.79983977555448e-10,"GWK60_D01067"
"44","CAGL0D01100g",3846.81594634857,1.07735224481775,0.209807145659288,2.43946328975672e-06,"GWK60_D01199"
"45","CAGL0D01474g",1250.45372495593,3.10625758576791,0.304339166835535,1.93261495844812e-22,"GWK60_D01595"
"46","CAGL0D02662g",95.0943572197373,1.06821234947868,0.369322193629518,0.0118814297778341,"GWK60_D02827"
"47","CAGL0D04114g",6427.09805424676,1.02856326427192,0.244716812229553,0.000150817255845337,"GWK60_D04279"
"48","CAGL0D04136g",3956.26154244717,1.03270557604246,0.197629133082173,1.57250909545931e-06,"GWK60_D04301"
"49","CAGL0D05082g",29089.2456629071,1.26226871363727,0.315616998007747,0.000336088320513242,"GWK60_D05269"
"50","CAGL0D05324g",2211.49248458544,1.18982764502347,0.183560760425167,1.4035059651185e-09,"GWK60_D05533"
"51","CAGL0D05918g",10409.45470071,1.22403460926483,0.217138495063698,1.87777025965072e-07,"GWK60_D06083"
"52","CAGL0D05940g",14621.810460759,3.22348235511827,0.200056160431669,2.07371353433823e-55,"GWK60_D06105"
"53","CAGL0D06402g",5299.77308203469,1.31660785243686,0.185682029454846,2.79572298915424e-11,"GWK60_D06589"
"54","CAGL0D06512g",406.604459242125,1.42298038597485,0.19025297814373,1.8875135019884e-12,"GWK60_D06699"
"55","CAGL0E00187g",2017.04011887773,1.94162311419236,0.237982756180547,1.21120061819319e-14,"GWK60_E00033"
"56","CAGL0E00803g",1420.25946217559,1.49187787489566,0.229312287757175,1.21593309157193e-09,"GWK60_E00583"
"57","CAGL0E01243g",201.893288841332,1.35689806830975,0.411873471561543,0.00382977255959796,"GWK60_E01023"
"58","CAGL0E01639g",3378.17322791785,1.16012910290557,0.155507027197605,2.13933593692412e-12,"GWK60_E01419"
"59","CAGL0E01771g",6615.11662264364,1.93256985057027,0.157326941905705,2.51892260588828e-32,"GWK60_E01551"
"60","CAGL0E01793g",15048.725091459,1.31463625445579,0.269890644201858,8.60451392617155e-06,"GWK60_E01573"
"61","CAGL0E02409g",1237.04227948904,1.30823481695054,0.198527313209278,7.14003734798463e-10,"GWK60_E02211"
"62","CAGL0E02651g",536.187366317869,1.2097318390445,0.315719996569897,0.000619213010507523,"GWK60_E02431"
"63","CAGL0E03025g",5865.8726937396,1.7134052394946,0.191036481334479,1.78328162477926e-17,"GWK60_E02805"
"64","CAGL0E03498g",1544.66902780825,1.26778936809131,0.20892639264976,1.70046672090543e-08,"GWK60_E03223"
"65","CAGL0E03652g",990.970998535369,1.21524985122282,0.297097887172785,0.000238200288013847,"GWK60_E03377"
"66","CAGL0E04004g",1811.30645419176,1.96117033131113,0.213132150149968,2.41694117297187e-18,"GWK60_E03707"
"67","CAGL0E04334g",13402.669425802,1.73307222805749,0.207722652506136,2.89566964418343e-15,"GWK60_E04015"
"68","CAGL0E05148g",5747.98533441889,1.68924810620286,0.312099293891653,6.11135008273971e-07,"GWK60_E04851"
"69","CAGL0E05984g",531.882602641201,3.64095285792887,0.261063719986265,1.65166142680055e-41,"GWK60_E05621"
"70","CAGL0F00275g",3410.82487198399,1.02303339894321,0.166612513528063,1.12730747488949e-08,"GWK60_F00143"
"71","CAGL0F01397g",4303.13521114211,1.03787785320011,0.1444020284856,1.4560987259981e-11,"GWK60_F01177"
"72","CAGL0F01793g",28971.7324898397,2.07151808917372,0.181886057924006,7.41312101098918e-28,"GWK60_F01551"
"73","CAGL0F01815g",1337.67050222254,1.30584143683516,0.344698414306092,0.000722299809979882,"GWK60_F01573"
