"","gene","baseMean","log2FC","stderror","padj","gene_id_bg2"
"1","CAGL0A00495g",1690.99678549882,-1.57026935501745,0.278583523867722,1.87909845691771e-07,"GWK60_A00385"
"2","CAGL0A01155g",497.159332338749,-1.17848546049396,0.224460264694866,1.3845860427017e-06,"GWK60_A01045"
"3","CAGL0A01474g",849.369149899918,-1.09741190717039,0.319893155732728,0.00249612919304572,"GWK60_A01309"
"4","CAGL0A01628g",4141.66534770881,-1.03626671288985,0.221856970353732,2.14789544598065e-05,"GWK60_A01441"
"5","CAGL0A02090g",6994.22558586871,-1.02802691159448,0.232671648532032,6.16929334137075e-05,"GWK60_A01903"
"6","CAGL0A03212g",5707.43362764717,-1.01230072229395,0.180892035955319,2.3342002533724e-07,"GWK60_A03091"
"7","CAGL0A03608g",527.70928872638,-1.22593086326722,0.271604246382609,4.1969067370751e-05,"GWK60_A03487"
"8","CAGL0A03652g",2080.19533505045,-1.46058701084219,0.238894547354029,1.30103335990098e-08,"GWK60_A03531"
"9","CAGL0A03674g",309.955910019483,-1.21900071047794,0.253472508877274,1.15110180234287e-05,"GWK60_A03553"
"10","CAGL0A03828g",532.014099379644,-1.5469656093347,0.206966144759662,1.93997599138173e-12,"GWK60_A03707"
"11","CAGL0A04015g",6378.52774345534,-1.53438199062732,0.238570731800078,1.92762829966076e-09,"GWK60_A03905"
"12","CAGL0A04037g",5093.88190747548,-1.11140784563791,0.257901949135184,9.81314934364483e-05,"GWK60_A03927"
"13","CAGL0A04169g",1220.57267314039,-1.35129487802245,0.170772308088821,7.82215872674747e-14,"GWK60_A04059"
"14","CAGL0A04213g",1002.87060359999,-1.05845445413316,0.268891522744334,0.000424310051058929,"GWK60_A04103"
"15","CAGL0A04257g",3929.94273210715,-1.03222802783839,0.208910262072831,6.18533757416158e-06,"GWK60_A04147"
"16","CAGL0B00352g",1692.28620332034,-1.60894581032434,0.174247554479031,1.84372422391185e-18,"GWK60_B00187"
"17","CAGL0B00374g",665.436815900131,-1.16107633449304,0.196901336745456,4.50478527493009e-08,"GWK60_B00209"
"18","CAGL0B00484g",5199.04725985546,-1.03312821725006,0.175405358261496,4.6488425299225e-08,"GWK60_B00319"
"19","CAGL0B00594g",31109.1508914912,-1.02683793116147,0.186589441039056,3.80263482202272e-07,"GWK60_B00407"
"20","CAGL0B00792g",267.020790441015,-2.03985125608491,0.326004852605869,5.60891441755154e-09,"GWK60_B00627"
"21","CAGL0B01397g",2338.56760908134,-1.03396125432758,0.232573028180723,5.53563843211604e-05,"GWK60_B01199"
"22","CAGL0B01507g",794.584483362709,-1.53440132688436,0.206510259215935,2.66196685061279e-12,"GWK60_B01309"
"23","CAGL0B01771g",420.431848789905,-1.09192354384702,0.207023322731468,1.23245744496346e-06,"GWK60_B01595"
"24","CAGL0B01881g",1568.98071559367,-1.12243307755122,0.202788644938024,3.23257256636686e-07,"GWK60_B01727"
"25","CAGL0B02277g",550.024525716728,-1.17929922246124,0.22015381113082,8.19059871940262e-07,"GWK60_B02123"
"26","CAGL0B02970g",912.471228849569,-1.95417086497891,0.341669497661903,1.20202923014497e-07,"GWK60_B02849"
"27","CAGL0B04125g",2378.18461845068,-1.33652902389589,0.195854092828506,1.64038734023799e-10,"GWK60_B03993"
"28","CAGL0B04169g",1754.9997630304,-1.55135572924779,0.167972039730024,1.8334062949031e-18,"GWK60_B04037"
"29","CAGL0B04433g",2149.59231353227,-1.59614985609519,0.300356830050811,1.01579575582214e-06,"GWK60_B04301"
"30","CAGL0B04851g",2384.42615681331,-1.25284157902895,0.185257675726439,2.40440771992133e-10,"GWK60_B04697"
"31","CAGL0B04873g",201.202933988466,-1.1846637399435,0.245032752002427,1.02061109742791e-05,"GWK60_B04719"
"32","CAGL0C00737g",1211.48457384477,-1.34411835078177,0.221625685496046,1.73122710751717e-08,"GWK60_C00561"
"33","CAGL0C00759g",1653.39855228917,-1.44866944236633,0.16362337687117,4.70997749384243e-17,"GWK60_C00583"
"34","CAGL0C01419g",37.3761518289105,-1.63903968022464,0.548352413513381,0.00921117877904041,"GWK60_C01001"
"35","CAGL0C01617g",33.3021268723536,-1.4235196231375,0.463890244005626,0.00739451633357797,"GWK60_C01221"
"36","CAGL0C01639g",2288.57486342282,-1.96653187954472,0.179024832409691,5.81211730431363e-26,"GWK60_C01243"
"37","CAGL0C01749g",765.032518443783,-1.86414562310038,0.277245607787965,3.07393879804991e-10,"GWK60_C01353"
"38","CAGL0C02211g",750.041582238125,-2.51259070994893,0.210375985003694,1.40860016175911e-30,"GWK60_C01815"
"39","CAGL0C02519g",1546.69095166677,-1.6166040581572,0.212872838826413,8.38544642749109e-13,"GWK60_C02123"
"40","CAGL0C02827g",945.298719999118,-1.2075003168319,0.214036624435834,1.84594272407876e-07,"GWK60_C02453"
"41","CAGL0C03355g",35.5722822937337,-1.58012783287063,0.567840496897773,0.0159027342161389,"GWK60_C02959"
"42","CAGL0C03369g",5563.80182160931,-1.32481133681494,0.209893432379506,3.9897215114538e-09,"GWK60_C02981"
"43","CAGL0C03531g",2595.49631318454,-1.05799362996881,0.219050586995721,1.04398318187494e-05,"GWK60_C03135"
"44","CAGL0C03740g",298.058037176336,-1.64547266202931,0.253173214176004,1.26552608512846e-09,"GWK60_C03355"
"45","CAGL0C04565g",213.771374702079,-1.37027732481513,0.29505494584042,2.40178247445862e-05,"GWK60_C04081"
"46","CAGL0C04785g",225.552573470202,-1.39645029528469,0.271759357710068,2.40201038180484e-06,"GWK60_C04279"
"47","CAGL0C04917g",60.0229092674685,-1.40880461725911,0.492615712441465,0.013001122407497,"GWK60_C04411"
"48","CAGL0D00220g",1290.97038310968,-1.67548993620812,0.22953626381893,6.6654267181044e-12,"GWK60_I00099"
"49","CAGL0D00462g",585.26032083075,-1.03342256717673,0.229085816879473,4.23742021579992e-05,"GWK60_D00561"
"50","CAGL0D00550g",5449.8771643261,-1.26511846287644,0.231250343807807,4.53142462237529e-07,"GWK60_D00649"
"51","CAGL0D00880g",1986.87277764604,-1.42205370587696,0.23526597153066,1.93426852043114e-08,"GWK60_D01001"
"52","CAGL0D01562g",2271.72540986686,-1.12343771440728,0.323398483502891,0.002169189408524,"GWK60_D01683"
"53","CAGL0D01716g",2358.59422258288,-1.33772894966755,0.25126424745929,9.67961463473974e-07,"GWK60_D01837"
"54","CAGL0D02530g",3022.21575685637,-1.5597375381585,0.176498948732439,5.2881547296809e-17,"GWK60_D02695"
"55","CAGL0D02706g",1128.05971675692,-1.14341303182782,0.186774034947242,1.25438604648717e-08,"GWK60_D02871"
"56","CAGL0D02838g",1321.15796545858,-1.57351602601558,0.199029205084058,8.21621461149743e-14,"GWK60_D03003"
"57","CAGL0D02860g",453.163039932597,-1.49032780378868,0.216883201146839,1.2077947617618e-10,"GWK60_D03025"
"58","CAGL0D03124g",2838.86585447766,-1.40647214689508,0.185659534957307,9.62506689742255e-13,"GWK60_D03289"
"59","CAGL0D03410g",1631.31155190811,-1.04018075746784,0.217990430848229,1.37322894916928e-05,"GWK60_D03575"
"60","CAGL0D03652g",689.710556142776,-1.25189014120728,0.180401581769639,7.66663209797953e-11,"GWK60_D03817"
"61","CAGL0D03674g",3938.3537673777,-1.34728920749055,0.171847536745193,1.35027731000769e-13,"GWK60_D03839"
"62","CAGL0D04180g",1804.00856800519,-1.32936673310765,0.188482517797357,3.59250165995009e-11,"GWK60_D04345"
"63","CAGL0D04620g",224.332441865474,-2.16672845485487,0.392947390958325,3.60477911942633e-07,"GWK60_D04785"
"64","CAGL0D04642g",472.92953178071,-1.35656700463274,0.206535035713202,8.19650872921608e-10,"GWK60_D04807"
"65","CAGL0D04884g",2065.06593380874,-1.41663069399159,0.202521588394488,5.29183991403841e-11,"GWK60_D05071"
"66","CAGL0D05236g",460.000126189096,-1.61208116267968,0.209180729835334,3.67402572033494e-13,"GWK60_D05423"
"67","CAGL0D05500g",1581.50754092778,-1.24264995352623,0.207453885819631,2.65259488539686e-08,"GWK60_D05687"
"68","CAGL0D05588g",1478.81763664286,-1.02951874878817,0.207448296323632,5.60203492254974e-06,"GWK60_D05775"
"69","CAGL0E00517g",1441.83943142407,-1.69562039959671,0.247757164016741,1.43971582516576e-10,"GWK60_E00297"
"70","CAGL0E00979g",1786.2560924432,-1.24166844273679,0.181834477997161,1.59612435618316e-10,"GWK60_E00759"
"71","CAGL0E01331g",6508.71482263662,-1.37745867624974,0.171837335348582,3.54937441606326e-14,"GWK60_E01111"
"72","CAGL0E01727g",1531.98862759906,-1.07360755565533,0.366262943988882,0.0107833893016488,"GWK60_E01507"
"73","CAGL0E01925g",825.701505638371,-1.52076439462159,0.182254383261215,2.89485352613198e-15,"GWK60_E01705"
"74","CAGL0E02255g",868.379038829294,-2.95808681022397,0.353842326582253,2.55472556576809e-15,"GWK60_E02035"
"75","CAGL0E02343g",841.696177487563,-1.61648313492593,0.192664011594712,2.04217108100578e-15,"GWK60_E02145"
"76","CAGL0E02673g",1399.3989380187,-1.6849612496788,0.201371010467124,2.4562778156565e-15,"GWK60_E02453"
"77","CAGL0E02915g",753.615586658133,-1.56609886670823,0.241711180013698,1.42455667144994e-09,"GWK60_E02695"
"78","CAGL0E02937g",1746.00016657532,-1.22095710015273,0.199536996057572,1.27441076756451e-08,"GWK60_E02717"
"79","CAGL0E02959g",755.635160182615,-1.00215175717756,0.168338216379995,3.27436072085014e-08,"GWK60_E02739"
"80","CAGL0E03069g",1977.0665999256,-1.35645817907211,0.212013733085454,2.36699509187808e-09,"GWK60_E02827"
"81","CAGL0E03245g",6335.1071787504,-1.85203956816357,0.223857493484346,4.97941773588476e-15,"GWK60_E02981"
"82","CAGL0E03289g",4251.44938695631,-1.52722747441676,0.227492138158793,3.27274614505474e-10,"GWK60_E03025"
"83","CAGL0E04224g",996.070074608564,-1.03810598626487,0.249133212484266,0.000175073357363413,"GWK60_E03905"
"84","CAGL0E05434g",566.193868756725,-1.17053236049477,0.235892650632615,5.61128382068089e-06,"GWK60_E05093"
"85","CAGL0E05456g",1496.35990855116,-1.91228826695954,0.376856077358534,3.25544444023882e-06,"GWK60_E05115"
"86","CAGL0E05478g",1735.9209079457,-1.66607885166343,0.206200104059887,2.20717344684653e-14,"GWK60_E05137"
"87","CAGL0E05500g",2628.21479392375,-1.49677334079957,0.283084875619362,1.1546386778292e-06,"GWK60_E05159"
"88","CAGL0E05522g",594.29296797979,-2.04890321742269,0.206081380090622,2.5759538866573e-21,"GWK60_E05181"
"89","CAGL0E05764g",824.008845605984,-1.22138794763813,0.190254312152072,2.07043605590907e-09,"GWK60_E05423"
"90","CAGL0E05874g",2790.20100744365,-1.3659640848669,0.169566756531741,2.65693584616112e-14,"GWK60_E05511"
"91","CAGL0E06534g",1697.10354110761,-1.34754655393012,0.172362188046609,1.59781701325062e-13,"GWK60_E06171"
